scientific_name,authority,category,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,keep,resolved_match_type
Xylosma latifolium,Hook.f. &amp; Thomson,EN,Fuzzy (edit distance),FALSE,0.889,2,2923350,Xylosma latifolia,Hook.f. & Thomson,Species,Synonym,NA,112149-1,2924956,4,9,1,NA
Albizia berteriana,(Balbis ex DC.) M.G�mez,VU,Fuzzy (phonetic),FALSE,0.944,1,2627252,Albizia berteroana,(Balb. ex DC.) Fawc. & Rendle,Species,Accepted,NA,473182-1,2627252,NA,-1,1,NA
Syzygium ramavarma,(Bourd.) Chithra,VU,Fuzzy (phonetic),FALSE,0.9,2,200182,Syzygium rama-varmae,(Bourd.) Chithra,Species,Accepted,NA,1011547-1,200182,0,16,1,NA
Litosanthes capitulatus,(Wight) Deb. &amp; Gang.,VU,Fuzzy (edit distance),FALSE,0.913,2,114882,Litosanthes capitulata,(Wight) Deb & M.G.Gangop.,Species,Synonym,TRUE,946819-1,108480,8,11,1,NA
Parathesis glaberima,Lundell,DD,Fuzzy (phonetic),FALSE,0.952,1,2552262,Parathesis glaberrima,Lundell,Species,Accepted,NA,183074-2,2552262,0,7,1,NA
Myrsine niauensis,Fosberg &amp; Sachet,LR/lc,Fuzzy (phonetic),FALSE,0.882,2,2503109,Myrsine naiuensis,Fosberg & Sachet,Species,Accepted,NA,589206-1,2503109,4,9,1,NA
Ixora moorensis,(Nadeaud) Fosberg,LR/lc,Fuzzy (phonetic),FALSE,0.938,1,103767,Ixora mooreensis,(Nadeaud) Fosberg,Species,Accepted,NA,754226-1,103767,0,17,1,NA
Ixora st.-johnii,Fosberg,DD,Fuzzy (phonetic),FALSE,0.938,1,104010,Ixora st-johnii,Fosberg,Species,Accepted,NA,754466-1,104010,0,7,1,NA
Sesuvium edmondstonii,Hook.f.,LC,Fuzzy (edit distance),FALSE,0.905,2,2476897,Sesuvium edmonstonei,Hook.f.,Species,Accepted,NA,235141-2,2476897,0,7,1,NA
Amaranthus sclerantoides,Andersson,LC,Fuzzy (edit distance),FALSE,0.96,1,2633093,Amaranthus scleranthoides,(Andersson) Andersson,Species,Accepted,NA,59734-1,2633093,12,9,1,NA
Tournefortia rufo-sericea,Hook.f.,VU,Fuzzy (phonetic),FALSE,0.96,1,2437472,Tournefortia rufosericea,Hook.f.,Species,Accepted,NA,121125-1,2437472,0,7,1,NA
Plagiosiphon longitubus,J.L�onard,LC,Fuzzy (edit distance),FALSE,0.913,2,2539617,Plagiosiphon longituba,(Harms) J.Léonard,Species,Accepted,NA,515178-1,2539617,NA,-1,1,NA
Cephalotaxus harringtonii,(Knight ex J.Forbes) K.Koch,LC,Fuzzy (phonetic),FALSE,0.96,1,382742,Cephalotaxus harringtonia,(Knight ex J.Forbes) K.Koch,Species,Accepted,NA,261818-1,382742,0,27,1,NA
Nepenthes burbidgeae,Hook. f. ex Burbidge,EN,Fuzzy (phonetic),FALSE,0.9,2,2384278,Nepenthes burbidgei,Hook.f. ex Burb.,Species,Accepted,NA,603667-1,2384278,5,10,1,NA
Micranthocereus auriazureus,Buining &amp; Brederoo,EN,Fuzzy (phonetic),FALSE,0.964,1,2370252,Micranthocereus auri-azureus,Buining & Brederoo,Species,Accepted,NA,160088-2,2370252,4,9,1,NA
Ariocarpus agavoides,(Casta�eda) E.F.Anderson,EN,Fuzzy (phonetic),FALSE,0.952,1,2651061,Ariocarpus agavioides,(Castañeda) E.S.Anderson,Species,Accepted,NA,19049-2,2651061,NA,-1,1,NA
Ariocarpus scaphirostris,Boed.,EN,Fuzzy (phonetic),FALSE,0.958,1,2651112,Ariocarpus scaphirostrus,Boed.,Species,Accepted,NA,19065-2,2651112,0,5,1,NA
Agathis labillardieri,Warb.,NT,Fuzzy (phonetic),FALSE,0.955,1,4521,Agathis labillardierei,Warb.,Species,Accepted,NA,676643-1,4521,0,5,1,NA
Pinus armandii,Franch.,LC,Fuzzy (phonetic),FALSE,0.929,1,380505,Pinus armandi,Franch.,Species,Accepted,NA,262780-1,380505,0,7,1,NA
Podocarpus crassigemma,de Laub.,LC,Fuzzy (edit distance),FALSE,0.913,2,380844,Podocarpus crassigemmis,de Laub.,Species,Synonym,NA,687987-1,380956,0,8,1,NA
Podocarpus lawrencei,Hook.f.,LC,Fuzzy (phonetic),FALSE,0.95,1,381234,Podocarpus lawrencii,Hook.f.,Species,Accepted,NA,263516-1,381234,0,7,1,NA
Podocarpus longefoliolatus,Pilg.,EN,Fuzzy (phonetic),FALSE,0.962,1,380974,Podocarpus longifoliolatus,Pilg.,Species,Accepted,NA,263519-1,380974,0,5,1,NA
Aphelandra gunnari,Wassh.,VU,Fuzzy (phonetic),FALSE,0.947,1,2643550,Aphelandra gunnarii,Wassh.,Species,Accepted,NA,932158-1,2643550,0,6,1,NA
Bomarea chimborazensis,Baker,EN,Fuzzy (phonetic),FALSE,0.955,1,300684,Bomarea chimboracensis,Baker,Species,Accepted,NA,34402-2,300684,0,5,1,NA
Tetrameranthus globuliferus,Westra,VU,Fuzzy (edit distance),FALSE,0.926,2,2435877,Tetrameranthus globulifer,Westra,Species,Accepted,NA,285941-2,2435877,0,6,1,NA
Anthurium oreodoxum,Sodiro,DD,Fuzzy (edit distance),FALSE,0.895,2,11429,Anthurium oreodoxa,Sodiro,Species,Accepted,NA,15526-2,11429,0,6,1,NA
Oreopanax ecuadorensis,Seem.,LC,Fuzzy (phonetic),FALSE,0.957,1,143519,Oreopanax ecuadoriensis,Seem.,Species,Accepted,NA,91189-1,143519,0,5,1,NA
Cynanchum ellemannii,Morillo,VU,Fuzzy (phonetic),FALSE,0.905,2,503602,Cynanchum ellemanniae,Morillo,Species,Synonym,TRUE,304521-2,509483,0,7,1,NA
Lepidium ecuadoriense,Thell.,VU,Fuzzy (phonetic),FALSE,0.952,1,2356120,Lepidium ecuadorense,Thell.,Species,Accepted,NA,138010-2,2356120,0,6,1,NA
Tillandsia marnieri-lapostollei,Rauh,VU,Fuzzy (edit distance),FALSE,0.968,1,269342,Tillandsia marnieri-apostollei,Rauh,Species,Accepted,NA,254035-2,269342,0,4,1,NA
Dasphyllum argenteum,Kunth,VU,Fuzzy (phonetic),FALSE,0.952,1,3036776,Dasyphyllum argenteum,Kunth,Species,Accepted,NA,201023-1,3036776,0,5,1,NA
Dasphyllum lehmannii,(Hieron.) Cabrera,CR,Fuzzy (phonetic),FALSE,0.952,1,3036873,Dasyphyllum lehmannii,(Hieron.) Cabrera,Species,Accepted,NA,76859-2,3036873,0,17,1,NA
Dendrophorbium tipocochensis,(Domke) B. Nord.,NT,Fuzzy (edit distance),FALSE,0.929,2,3085090,Dendrophorbium tipocochense,(Domke) B.Nord.,Species,Accepted,NA,992426-1,3085090,1,10,1,NA
Gynoxys reinaldii,Cuatrec.,VU,Fuzzy (phonetic),FALSE,0.941,1,3078921,Gynoxys reinaldi,Cuatrec.,Species,Accepted,NA,115997-2,3078921,0,8,1,NA
Lysipomia crassomarginata,(E.Wimm.) Jeppesen,EN,Fuzzy (phonetic),FALSE,0.96,1,352458,Lysipomia crassimarginata,(E.Wimm.) Jeppesen,Species,Accepted,NA,909052-1,352458,0,18,1,NA
Siphocampylus ecuadoriensis,E.Wimm.,EN,Fuzzy (phonetic),FALSE,0.963,1,356664,Siphocampylus ecuadorensis,E.Wimm.,Species,Accepted,NA,236741-2,356664,0,7,1,NA
Blechnum socialis,Sodiro,DD,Fuzzy (edit distance),FALSE,0.882,2,3149973,Blechnum sociale,Sodiro,Species,Accepted,NA,17060360-1,3149973,0,6,1,NA
Elaphoglossum heliconiaefolium,(Sodiro) H.Christ,VU,Fuzzy (phonetic),FALSE,0.933,2,3152094,Elaphoglossum heliconiifolium,(Sodiro) Christ,Species,Accepted,NA,17103690-1,3152094,2,9,1,NA
Elaphoglossum rupicolum,(Sodiro) C.Chr.,DD,Fuzzy (edit distance),FALSE,0.913,2,3152401,Elaphoglossum rupicola,C.Chr.,Species,Accepted,NA,89307-2,3152401,9,6,1,NA
Microgramma tuberosum,(Maxon) Lellinger,EN,Fuzzy (edit distance),FALSE,0.905,2,3154697,Microgramma tuberosa,(Maxon) Lellinger,Species,Accepted,NA,160151-2,3154697,0,17,1,NA
Atriplex plebeja,Carmich.,CR,Fuzzy (edit distance),FALSE,0.938,1,2665674,Atriplex plebeia,Carmich.,Species,Accepted,NA,164060-1,2665674,0,8,1,NA
Argyroxiphium caliginis,C.N.Forbes,VU,Fuzzy (edit distance),FALSE,0.957,1,3126162,Argyroxiphium caligini,C.N.Forbes,Species,Accepted,NA,178833-1,3126162,0,10,1,NA
Euphorbia pellegrini,Leandri,VU,Fuzzy (phonetic),FALSE,0.952,1,81401,Euphorbia pellegrinii,Leandri,Species,Accepted,NA,347701-1,81401,0,7,1,NA
Euphorbia randrianjohanyi,Haevermans &amp; Labat,VU,Fuzzy (phonetic),FALSE,0.962,1,244837,Euphorbia randrianijohanyi,Haevermans & Labat,Species,Accepted,NA,330397-2,244837,4,12,1,NA
Ballochia atro-virgata,Balf.f.,DD,Fuzzy (phonetic),FALSE,0.955,1,2668211,Ballochia atrovirgata,Balf.f.,Species,Accepted,NA,45825-1,2668211,0,7,1,NA
Echiochilon pulvinata,A.G.Mill. &amp; Urban,VU,Fuzzy (edit distance),FALSE,0.909,2,2783918,Echiochilon pulvinatum,A.G.Mill. & L.Urb.,Species,Accepted,NA,77065899-1,2783918,7,11,1,NA
Heliotropium socotranum,Vierh.,LC,Fuzzy (phonetic),FALSE,0.957,1,2844483,Heliotropium sokotranum,Vierh.,Species,Accepted,NA,117240-1,2844483,0,6,1,NA
Trichodesma scotti,Balf.f.,VU,Fuzzy (phonetic),FALSE,0.947,1,2437955,Trichodesma scottii,Balf.f.,Species,Accepted,NA,121288-1,2437955,0,7,1,NA
Seddera semhahensis,R.R.Mill,VU,Fuzzy (edit distance),FALSE,0.947,1,478287,Seddera semhaensis,R.R.Mill,Species,Synonym,TRUE,77100684-1,486842,0,8,1,NA
Euphorbia hamaderohensis,A.G.Mill.,EN,Fuzzy (edit distance),FALSE,0.958,1,333714,Euphorbia hamaderoensis,A.G.Mill.,Species,Accepted,NA,77065864-1,333714,0,9,1,NA
Melhania milleri,Abedin,DD,Fuzzy (edit distance),FALSE,0.875,2,2508182,Melhania kelleri,Schinz,Species,Accepted,NA,824359-1,2508182,5,2,1,NA
Corchorus erodiodes,Balf.f.,LC,Fuzzy (phonetic),FALSE,0.95,1,2736360,Corchorus erodioides,Balf.f.,Species,Accepted,NA,833575-1,2736360,0,7,1,NA
Coelocarpum haggierensis,A.G.Mill.,VU,Fuzzy (edit distance),FALSE,0.917,2,331620,Coelocarpum haggierense,A.G.Mill.,Species,Accepted,NA,77065876-1,331620,0,9,1,NA
Dalea humifosa,Benth.,NT,Fuzzy (phonetic),FALSE,0.929,1,2756213,Dalea humifusa,Benth.,Species,Accepted,NA,490699-1,2756213,0,6,1,NA
Lupinus kuntii,J.Agardh,DD,Fuzzy (edit distance),FALSE,0.933,1,2348198,Lupinus kunthii,J.Agardh,Species,Accepted,NA,504629-1,2348198,0,8,1,NA
Codonanthe erubenscens,Wiehler,DD,Fuzzy (edit distance),FALSE,0.955,1,2730133,Codonanthe erubescens,Wiehler,Species,Synonym,TRUE,305386-2,2995286,0,7,1,NA
Columnea katzensteinii,(Weihler) L.E.Skog &amp; L.P.Kvist,VU,Fuzzy (phonetic),FALSE,0.913,2,2731835,Columnea katzensteiniae,(Wiehler) L.E.Skog & L.P.Kvist,Species,Accepted,NA,999465-1,2731835,6,16,1,NA
Cremosperma ecudoranum,L.P.Kvist &amp; L.E.Skog,VU,Fuzzy (phonetic),FALSE,0.957,1,2742620,Cremosperma ecuadoranum,L.P.Kvist & L.E.Skog,Species,Accepted,NA,275274-2,2742620,4,11,1,NA
Justicia leucoxiphos,"Vollesen, Cheek &amp; Ghogue",EN,Fuzzy (phonetic),FALSE,0.95,1,2333070,Justicia leucoxiphus,"Vollesen, Cheek & Ghogue",Species,Accepted,NA,60435875-2,2333070,4,17,1,NA
Pseuderanthemum dispersum,Milne-Redh.,VU,Fuzzy (edit distance),FALSE,0.96,1,2406037,Pseuderanthemum dispermum,Milne-Redh.,Species,Accepted,NA,53238-1,2406037,0,11,1,NA
Drypetes molundana,Pax &amp; K.Hoffm.,VU,Fuzzy (phonetic),FALSE,0.947,1,64969,Drypetes molunduana,Pax & K.Hoffm.,Species,Accepted,NA,345110-1,64969,4,9,1,NA
Siparuna piloso-lepidota,Heilborn,NT,Fuzzy (phonetic),FALSE,0.958,1,2602948,Siparuna pilosolepidota,Heilb.,Species,Accepted,NA,237253-2,2602948,3,5,1,NA
Lepechinia rufocampii,Epling &amp; Mathias,VU,Fuzzy (phonetic),FALSE,0.952,1,110795,Lepechinia rufocampi,Epling & Mathias,Species,Accepted,NA,137891-2,110795,4,8,1,NA
Nasa jungifolia,(Weigend) Weigend,VU,Fuzzy (phonetic),FALSE,0.938,1,2896770,Nasa jungiifolia,(Weigend) Weigend,Species,Accepted,NA,1014833-1,2896770,0,17,1,NA
Stigmaphyllon ecudorense,C.E.Anderson,EN,Fuzzy (phonetic),FALSE,0.96,1,2596572,Stigmaphyllon ecuadorense,C.E.Anderson,Species,Accepted,NA,306084-2,2596572,0,12,1,NA
Calathea multicinta,H.A.Kenn.,VU,Fuzzy (edit distance),FALSE,0.95,1,223149,Calathea multicincta,H.Kenn.,Species,Synonym,TRUE,273666-2,494218,2,6,1,NA
Blakea languinosa,Wurdack,EN,Fuzzy (edit distance),FALSE,0.882,2,3021431,Blakea lanuginosa,Wurdack,Species,Accepted,NA,33409-2,3021431,0,7,1,NA
Graffenrieda phoenica,Margr.,DD,Fuzzy (edit distance),FALSE,0.955,1,3018507,Graffenrieda phoenicea,Markgr.,Species,Accepted,NA,112960-2,3018507,1,3,1,NA
Mitrostigma barteri,Hook.f.,EN,Fuzzy (phonetic),FALSE,0.95,1,128852,Mitriostigma barteri,Hook.f. ex Hiern,Species,Accepted,NA,756310-1,128852,9,7,1,NA
Psydrax bridsoniana,Cheek &amp; Sonk�,EN,Fuzzy (edit distance),FALSE,0.9,2,337736,Psydrax bridsonianus,Cheek & Sonké,Species,Accepted,NA,77065013-1,337736,NA,-1,1,NA
Lefebvrea kupense,(I.Darbysh. &amp; Cheek) Cheek &amp; I.Darbysh.,VU,Fuzzy (edit distance),FALSE,0.889,2,2904488,Lefebvrea kupensis,(I.Darbysh. & Cheek) Cheek & I.Darbysh.,Species,Synonym,NA,77111453-1,2341729,8,15,1,NA
Daphnopsis equatorialsis,Nevling,NT,Fuzzy (edit distance),FALSE,0.958,1,2757396,Daphnopsis equatorialis,Nevling,Species,Accepted,NA,76714-2,2757396,0,7,1,NA
Pilea jamesonia,Wedd.,NT,Fuzzy (edit distance),FALSE,0.882,2,2546873,Pilea jamesoniana,Wedd.,Species,Accepted,NA,855497-1,2546873,0,5,1,NA
Pilea schimpfii,Diels,VU,Fuzzy (phonetic),FALSE,0.938,1,2545228,Pilea schimpffii,Diels,Species,Accepted,NA,196388-2,2545228,0,5,1,NA
Renealmia aurantifera,Maas,LC,Fuzzy (phonetic),FALSE,0.955,1,260869,Renealmia aurantiifera,Maas,Species,Accepted,NA,218590-2,260869,0,4,1,NA
Aerides lawrenciae,Rchb.f.,EN,Fuzzy (edit distance),FALSE,0.944,1,4097,Aerides lawrenceae,Rchb.f.,Species,Accepted,NA,615261-1,4097,0,7,1,NA
Aerides leeanum,Rchb.f.,VU,Fuzzy (edit distance),FALSE,0.867,2,4102,Aerides leeana,Rchb.f.,Species,Accepted,NA,615262-1,4102,0,7,1,NA
Amesiella philippensis,(Ames) Garay,EN,Fuzzy (edit distance),FALSE,0.917,2,7934,Amesiella philippinensis,(Ames) Garay,Species,Accepted,NA,615689-1,7934,0,12,1,NA
Eranthemum austrosinensis,H.S.Lo,VU,Fuzzy (edit distance),FALSE,0.92,2,2791707,Eranthemum austrosinense,H.S.Lo,Species,Accepted,NA,48734-1,2791707,0,6,1,NA
Cotinus nana,W.W.Sm.,EN,Fuzzy (edit distance),FALSE,0.846,2,2740013,Cotinus nanus,W.W.Sm.,Species,Accepted,NA,69505-1,2740013,0,7,1,NA
Alphonsea tsangyuanensis,P.T.Li,EN,Fuzzy (phonetic),FALSE,0.958,1,2630054,Alphonsea tsangyanensis,P.T.Li,Species,Accepted,NA,72016-1,2630054,0,6,1,NA
Ilex wugonshanensis,C.J.Tseng ex S.K.Chen &amp; Y.X.Feng,EN,Fuzzy (edit distance),FALSE,0.95,1,2861674,Ilex wugongshanensis,C.J.Tseng ex S.K.Chen & Y.X.Feng,Species,Accepted,NA,1007928-1,2861674,4,23,1,NA
Ilex yuiana,S.Y.Hu,EN,Fuzzy (phonetic),FALSE,0.909,1,2861682,Ilex yuana,S.Y.Hu,Species,Synonym,NA,83884-1,3265351,0,6,1,NA
Opuntia monacantha,Haw.,LC,Fuzzy (edit distance),FALSE,0.895,2,2393261,Opuntia monacanthos,(Willd.) Haw.,Species,Accepted,NA,323260-2,2393261,9,4,1,NA
Impatiens wilsoni,Hook.f.,EN,Fuzzy (phonetic),FALSE,0.944,1,2863405,Impatiens wilsonii,Hook.f.,Species,Accepted,NA,104048-1,2863405,0,7,1,NA
Berberis xanthophloea,Ahrendt,VU,Fuzzy (edit distance),FALSE,0.905,2,2674679,Berberis xanthophlaea,Ahrendt,Species,Accepted,NA,107212-1,2674679,0,7,1,NA
Trachycarpus nana,Becc.,EN,Fuzzy (edit distance),FALSE,0.889,2,207164,Trachycarpus nanus,Becc.,Species,Accepted,NA,670186-1,207164,0,5,1,NA
Cyclosorus sino-acuminata,Ching &amp; Z.Y.Liu,VU,Fuzzy (phonetic),FALSE,0.96,1,3172339,Cyclosorus sinoacuminata,Ching & Z.Y.Liu,Species,Synonym,NA,17531390-1,3172349,4,8,1,NA
Amitostigma yuanum,T.Tang &amp; F.T.Wang,EN,Fuzzy (phonetic),FALSE,0.947,1,8013,Amitostigma yueanum,Tang & F.T.Wang,Species,Synonym,TRUE,615721-1,538385,6,9,1,NA
Calanthe yuana,T.Tang &amp; F.T.Wang,EN,Fuzzy (phonetic),FALSE,0.933,1,30504,Calanthe yueana,Tang & F.T.Wang,Species,Accepted,NA,621112-1,30504,6,9,1,NA
Cheirostylis inabai,Hayata,EN,Fuzzy (phonetic),FALSE,0.947,1,38763,Cheirostylis inabae,Hayata,Species,Synonym,NA,622732-1,38784,0,6,1,NA
Habenaria yuana,T.Tang &amp; F.T.Wang,VU,Fuzzy (phonetic),FALSE,0.938,1,95879,Habenaria yueana,Tang & F.T.Wang,Species,Accepted,NA,638384-1,95879,6,9,1,NA
Hemipilia crassicalcara,S.S.Chien,EN,Fuzzy (edit distance),FALSE,0.92,2,98224,Hemipilia crassicalcarata,S.S.Chien,Species,Accepted,NA,638555-1,98224,0,9,1,NA
Vanilla somai,Hayata,EN,Fuzzy (phonetic),FALSE,0.923,1,211983,Vanilla somae,Hayata,Species,Accepted,NA,661280-1,211983,0,6,1,NA
Antimima quartzitica,(Dinter) H.E.K.Hartmann,LC,Fuzzy (edit distance),FALSE,0.95,1,2642383,Antimima quarzitica,(Dinter) H.E.K.Hartmann,Species,Accepted,NA,1002373-1,2642383,0,23,1,NA
Eriosema harmsiana,Dinter,LC,Fuzzy (edit distance),FALSE,0.895,2,2797045,Eriosema harmsianum,Dinter,Species,Accepted,NA,494058-1,2797045,0,6,1,NA
Neoluederitzia sericeocarpa,Schinz,LC,Fuzzy (edit distance),FALSE,0.963,1,2382398,Neoluederitzia sericocarpa,Schinz,Species,Accepted,NA,873328-1,2382398,0,6,1,NA
Narcissus bugei,(Fern.Casas) Fern.Casas,EN,Fuzzy (phonetic),FALSE,0.933,1,281958,Narcissus bujei,(Fern.Casas) Fern.Casas,Species,Accepted,NA,943556-1,281958,0,23,1,NA
Peltophorum dasyrachis,(Miq.) Kurz,LC,Fuzzy (edit distance),FALSE,0.957,1,2538338,Peltophorum dasyrhachis,(Miq.) Kurz,Species,Accepted,NA,60469466-2,2538338,0,11,1,NA
Brunellia comocladifolia,Humb. &amp; Bonpl.,LC,Fuzzy (phonetic),FALSE,0.96,1,24859,Brunellia comocladiifolia,Bonpl.,Species,Accepted,NA,813633-1,24859,12,6,1,NA
Atraphaxis muschketowi,Krassn.,EN,Fuzzy (phonetic),FALSE,0.957,1,2664965,Atraphaxis muschketowii,Krasn.,Species,Accepted,NA,693132-1,2664965,1,3,1,NA
Amygdalus petunnikowi,Litv.,LC,Fuzzy (phonetic),FALSE,0.955,1,2941728,Amygdalus petunnikowii,Litv.,Species,Synonym,TRUE,721429-1,2961212,0,5,1,NA
Epiphyllum anguliger,(Lem.) G.Don,LC,Fuzzy (edit distance),FALSE,0.909,2,2791408,Epiphyllum anguligerum,(Lem.) G.Don,Species,Synonym,TRUE,NA,3009119,0,12,1,NA
Mammillaria variaculeata,Buchenau,DD,Fuzzy (phonetic),FALSE,0.96,1,2360287,Mammillaria varieaculeata,Franc.G.Buchenau,Species,Accepted,NA,151832-2,2360287,8,8,1,NA
Matucana haynei,(Otto ex Salm-Dyck) Britton &amp; Rose,LC,Fuzzy (phonetic),FALSE,0.933,1,2360042,Matucana haynii,(Otto ex Salm-Dyck) Britton & Rose,Species,Accepted,NA,154802-2,2360042,4,29,1,NA
Gymnocalycium capillaense,(Schick) Hosseus,LC,Fuzzy (phonetic),FALSE,0.96,1,2835565,Gymnocalycium capillense,(Schick) Hosseus,Species,Accepted,NA,115369-2,2835565,0,16,1,NA
Rebutia albipectinata,Rausch,EN,Fuzzy (phonetic),FALSE,0.952,1,2417130,Rebutia albopectinata,Rausch,Species,Synonym,TRUE,314202-2,2913466,0,6,1,NA
Hatiora salicornioides,(Haw.) Britton &amp; Rose,LC,Fuzzy (phonetic),FALSE,0.955,1,2840247,Hatiora salicornoides,(Haw.) Britton & Rose,Species,Accepted,NA,118071-2,2840247,4,16,1,NA
Echinopsis famatinensis,(Speg.) Werderm.,VU,Fuzzy (edit distance),FALSE,0.957,1,2783415,Echinopsis famatimensis,(Speg.) Werderm.,Species,Synonym,TRUE,88391-2,2914906,0,16,1,NA
Coryphantha pseudoechinus,Boed.,LC,Fuzzy (phonetic),FALSE,0.96,1,2739718,Coryphantha pseudechinus,Boed.,Species,Accepted,NA,131310-1,2739718,0,5,1,NA
Mammillaria carmenae,Casta�eda,CR,Fuzzy (phonetic),FALSE,0.952,1,2361199,Mammillaria carmeniae,Castañeda,Species,Accepted,NA,321372-2,2361199,NA,-1,1,NA
Parodia erinacea,(Haw.) N.P.Taylor,LC,Fuzzy (edit distance),FALSE,0.882,2,2414175,Parodia erinaceus,(Haw.) N.P.Taylor,Species,Accepted,NA,282132-2,2414175,0,17,1,NA
Rebutia fidana,(Backeb.) D.R.Hunt,LC,Fuzzy (phonetic),FALSE,0.875,2,2417022,Rebutia fidaiana,(Backeb.) D.R.Hunt,Species,Accepted,NA,944038-1,2417022,0,18,1,NA
Stenocactus ochoterenanus,Tiegel,DD,Fuzzy (phonetic),FALSE,0.962,1,2486705,Stenocactus ochoterenianus,Tiegel,Species,Accepted,NA,244571-2,2486705,0,6,1,NA
Parodia leninghausii,(F.Haage) F.H.Brandt,EN,Fuzzy (phonetic),FALSE,0.952,1,2900370,Parodia lenninghausii,(F.Haage) F.H.Brandt ex Eggli & Hofacker,Species,Accepted,NA,77106741-1,2900370,20,20,1,NA
Rhipsalis mesembryanthemoides,Haw.,CR,Fuzzy (edit distance),FALSE,0.931,2,2417404,Rhipsalis mesembryanthoides,Haw.,Species,Accepted,NA,306320-2,2417404,0,4,1,NA
Echinocereus stoloniferus,W.T.Marshall,LC,Fuzzy (edit distance),FALSE,0.92,2,2782862,Echinocereus stolonifer,W.T.Marshall,Species,Accepted,NA,88022-2,2782862,0,12,1,NA
Melocactus brederooianus,Buining,CR,Fuzzy (phonetic),FALSE,0.958,1,2359985,Melocactus brederooanus,Buining,Species,Accepted,NA,156759-2,2359985,0,7,1,NA
Escobaria robbinsorum,(W.H.Earle) D.R.Hunt,VU,Fuzzy (edit distance),FALSE,0.955,1,2802182,Escobaria robbinsiorum,(W.H.Earle) D.R.Hunt,Species,Accepted,NA,97516-2,2802182,0,20,1,NA
Pterocactus valentinii,Speg.,LC,Fuzzy (phonetic),FALSE,0.955,1,2413835,Pterocactus valentini,Speg.,Species,Accepted,NA,214037-2,2413835,0,5,1,NA
Pilosocereus jauruensis,(Buining &amp; Brederoo) P.J.Braun,LC,Fuzzy (phonetic),FALSE,0.913,2,2413397,Pilosocereus juaruensis,(Buining & Brederoo) P.J.Braun,Species,Accepted,NA,196704-2,2413397,4,20,1,NA
Gymnocalycium albiareolatum,Rausch,CR,Fuzzy (phonetic),FALSE,0.963,1,2835515,Gymnocalycium alboareolatum,Rausch,Species,Accepted,NA,277852-2,2835515,0,6,1,NA
Asparagus faulknerae,Sebsebe,LC,Fuzzy (phonetic),FALSE,0.9,2,343655,Asparagus faulkneri,Sebsebe,Species,Accepted,NA,77073554-1,343655,0,7,1,NA
Blepharispermum brachycarpum,T.Erikss.,EN,Fuzzy (edit distance),FALSE,0.966,1,3115553,Blepharispermum brachycarphum,Mattf.,Species,Accepted,NA,185459-1,3115553,8,1,1,NA
Impatiens palliderosea,Gilg,VU,Fuzzy (phonetic),FALSE,0.957,1,2862966,Impatiens pallide-rosea,Gilg,Species,Accepted,NA,374258-1,2862966,0,4,1,NA
Stylochaeton salaamicus,N.E.Br.,LC,Fuzzy (edit distance),FALSE,0.957,1,198383,Stylochaeton salaamicum,N.E.Br.,Species,Accepted,NA,89111-1,198383,0,7,1,NA
Bulbostylis boeckleriana,(Schweinf.) Beetle,LC,Fuzzy (phonetic),FALSE,0.96,1,222290,Bulbostylis boeckeleriana,(Schweinf.) Beetle,Species,Accepted,NA,298129-1,222290,0,18,1,NA
Balanites rotundifolius,Sands,LC,Fuzzy (edit distance),FALSE,0.913,2,19474,Balanites rotundifolia,(Tiegh.) Blatt.,Species,Accepted,NA,873118-1,19474,14,1,1,NA
Streptocarpus stomandrus,B.L.Burtt,EN,Fuzzy (edit distance),FALSE,0.917,2,2588720,Streptocarpus stomandra,B.L.Burtt,Species,Accepted,NA,383030-1,2588720,0,9,1,NA
Senecio dentato-alatus,Mildbr. ex C.Jeffrey,EN,Fuzzy (phonetic),FALSE,0.955,1,3080671,Senecio dentatoalatus,Mildbr. ex C.Jeffrey,Species,Accepted,NA,930563-1,3080671,0,20,1,NA
Stylochaeton euryphyllus,Mildbr.,VU,Fuzzy (edit distance),FALSE,0.958,1,198360,Stylochaeton euryphyllum,Mildbr.,Species,Accepted,NA,89094-1,198360,0,7,1,NA
Stylochaeton milneanus,Mayo,VU,Fuzzy (edit distance),FALSE,0.955,1,198377,Stylochaeton milneanum,Mayo,Species,Accepted,NA,928822-1,198377,0,4,1,NA
Stylochaeton crassispathus,Bogner,VU,Fuzzy (edit distance),FALSE,0.962,1,198357,Stylochaeton crassispathum,Bogner,Species,Accepted,NA,905349-1,198357,0,6,1,NA
Onopordum nogalesii,Svent.,CR,Fuzzy (phonetic),FALSE,0.947,1,3043496,Onopordum nogalesi,Svent.,Species,Synonym,NA,235380-1,3043497,0,6,1,NA
Potentilla emilii-popi,Ny�r.,DD,Fuzzy (phonetic),FALSE,0.957,1,2954588,Potentilla emilii-popii,Nyár.,Species,Accepted,NA,728036-1,2954588,NA,-1,1,NA
Thorella verticillato-inundata,Briq.,VU,Fuzzy (phonetic),FALSE,0.967,1,2435619,Thorella verticillatoinundata,(Thore) Briq.,Species,Synonym,TRUE,849378-1,2701186,8,5,1,NA
