scientific_name,authority,category,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,keep,resolved_match_type
Pisonia ekmani,Heimerl,EN,Fuzzy (phonetic),FALSE,0.933,1,2552364,Pisonia ekmanii,Heimerl,Species,Accepted,NA,200031-2,2552364,0,7,1,NA
Hieronima crassistipula,Urban,CR,Fuzzy (phonetic),FALSE,0.957,1,99137,Hieronyma crassistipula,Urb.,Species,Accepted,NA,122562-2,99137,2,3,1,NA
Belairia parvifolia,Britton,VU,Fuzzy (edit distance),FALSE,0.905,2,2672803,Belairia parvifoliola,Britton,Species,Synonym,NA,31069-2,2539778,0,7,1,NA
Mezzettia herveyana,Oliver,CR,Fuzzy (phonetic),FALSE,0.95,1,2364612,Mezzettia herveyeana,Oliv.,Species,Accepted,NA,73908-1,2364612,2,4,1,NA
Kopsia sleesiana,Markgraf,VU,Fuzzy (edit distance),FALSE,0.889,2,106356,Kopsia sleeseniana,Markgr.,Species,Accepted,NA,79525-1,106356,2,6,1,NA
Hopea tenuivervula,P.S.Ashton,NT,Fuzzy (edit distance),FALSE,0.944,1,2853284,Hopea tenuinervula,P.S.Ashton,Species,Accepted,NA,321013-1,2853284,0,10,1,NA
Horsfieldia rufo-lanata,Airy Shaw,VU,Fuzzy (phonetic),FALSE,0.957,1,2853599,Horsfieldia rufolanata,Airy Shaw,Species,Accepted,NA,585776-1,2853599,0,9,1,NA
Semecarpus auriculata,Beddome,LR/nt,Fuzzy (edit distance),FALSE,0.909,2,2479746,Semecarpus auriculatus,Bedd.,Species,Accepted,NA,71203-1,2479746,3,4,1,NA
Hieronima macrocarpa,Schltr.,VU,Fuzzy (phonetic),FALSE,0.95,1,99153,Hieronyma macrocarpa,Müll.Arg.,Species,Accepted,NA,350075-1,99153,6,1,1,NA
Semecarpus parvifolia,Thwaites,VU,Fuzzy (edit distance),FALSE,0.909,2,2479945,Semecarpus parvifolius,Thwaites,Species,Accepted,NA,71289-1,2479945,0,8,1,NA
Fagara mezoneurospinosa,Ak� Assi,EN,Fuzzy (phonetic),FALSE,0.957,1,2806742,Fagara mezoneurispinosa,Aké Assi,Species,Synonym,TRUE,773417-1,2871198,NA,-1,1,NA
Apterosperma oblata,Hung T.Chang,CR,Fuzzy (edit distance),FALSE,0.9,2,2644448,Apterosperma oblatum,Hung T.Chang,Species,Accepted,NA,829855-1,2644448,0,12,1,NA
Nesoluma st.-johnianum,H.J.Lam &amp; B.Meeuse,VU,Fuzzy (phonetic),FALSE,0.955,1,135383,Nesoluma st-johnianum,H.J.Lam & B.Meeuse,Species,Synonym,TRUE,788129-1,348469,4,9,1,NA
Paranephelium hainanensis,H.S. Lo,EN,Fuzzy (edit distance),FALSE,0.92,2,2543064,Paranephelium hainanense,H.S.Lo,Species,Accepted,NA,784037-1,2543064,1,4,1,NA
Campnosperma zeylanica,Thwaites,VU,Fuzzy (edit distance),FALSE,0.913,2,2695278,Campnosperma zeylanicum,Thwaites,Species,Accepted,NA,69394-1,2695278,0,8,1,NA
Semecarpus coriacea,Thwaites,EN,Fuzzy (edit distance),FALSE,0.9,2,2479768,Semecarpus coriaceus,Thwaites,Species,Accepted,NA,71216-1,2479768,0,8,1,NA
Semecarpus marginata,Thwaites,VU,Fuzzy (edit distance),FALSE,0.905,2,2479908,Semecarpus marginatus,Thwaites,Species,Accepted,NA,71262-1,2479908,0,8,1,NA
Semecarpus nigro-viridis,Thwaites,VU,Fuzzy (phonetic),FALSE,0.958,1,2479964,Semecarpus nigroviridis,Thwaites,Species,Accepted,NA,71275-1,2479964,0,8,1,NA
Semecarpus subpeltata,Thwaites,VU,Fuzzy (edit distance),FALSE,0.909,2,2479838,Semecarpus subpeltatus,Thwaites,Species,Accepted,NA,71309-1,2479838,0,8,1,NA
Hydnocarpus octandra,Thwaites,VU,Fuzzy (edit distance),FALSE,0.905,2,2925467,Hydnocarpus octandrus,Thwaites,Species,Accepted,NA,111760-1,2925467,0,8,1,NA
Lasianthus rhinophyllus,(Thwaites) Thwaites,CR,Fuzzy (edit distance),FALSE,0.957,1,108740,Lasianthus rhizophyllus,Thwaites,Species,Accepted,NA,755103-1,108740,11,8,1,NA
Polyscias dichroostachya,Baker,EN,Fuzzy (phonetic),FALSE,0.958,1,162477,Polyscias dichrostachya,Baker,Species,Accepted,NA,91753-1,162477,0,5,1,NA
Engelhardtia spicata,Lechen ex Blume,LR/lc,Fuzzy (edit distance),FALSE,0.95,1,2789185,Engelhardia spicata,Lechen ex Blume,Species,Accepted,NA,442232-1,2789185,0,15,1,NA
Turraeanthus africana,(Welw.) Pellegr.,VU,Fuzzy (edit distance),FALSE,0.909,2,2517056,Turraeanthus africanus,(Welw. ex C.DC.) Pellegr.,Species,Accepted,NA,579875-1,2517056,9,11,1,NA
Artocarpus rubrovenus,Warb.,LC,Fuzzy (phonetic),FALSE,0.955,1,2654078,Artocarpus rubrovenius,Warb.,Species,Accepted,NA,850446-1,2654078,0,5,1,NA
Eschweilera amazonicaformis,Mori,VU,Fuzzy (edit distance),FALSE,0.963,1,313753,Eschweilera amazoniciformis,S.A.Mori,Species,Accepted,NA,939645-1,313753,4,4,1,NA
Engelhardtia rigida,Blume,LR/lc,Fuzzy (edit distance),FALSE,0.947,1,2789175,Engelhardia rigida,Blume,Species,Accepted,NA,442228-1,2789175,0,5,1,NA
Shorea waltonii,G.H.S.Wood ex Meijer,NT,Fuzzy (phonetic),FALSE,0.933,1,2592521,Shorea waltoni,G.H.S.Wood ex Meijer,Species,Accepted,NA,321484-1,2592521,0,20,1,NA
Semecarpus ochracea,Alston,CR,Fuzzy (edit distance),FALSE,0.9,2,2479942,Semecarpus ochraceus,Alston,Species,Accepted,NA,71286-1,2479942,0,6,1,NA
Mastixia nimali,Kosterm.,VU,Fuzzy (phonetic),FALSE,0.938,1,122104,Mastixia nimalii,Kosterm.,Species,Accepted,NA,900284-1,122104,0,8,1,NA
Dysoxylum peerisi,Kosterm.,CR,Fuzzy (edit distance),FALSE,0.895,2,2780117,Dysoxylum peerisiae,Kosterm.,Species,Synonym,NA,899757-1,3275779,0,8,1,NA
Syzygium phyllyraeoides,(Trimen) Santapau,CR,Fuzzy (phonetic),FALSE,0.913,2,200107,Syzygium phillyreoides,(Trimen) Santapau,Species,Synonym,TRUE,602085-1,76370,0,17,1,NA
Mezoneuron kavaiense,(H.Mann) Hillebr.,CR,Fuzzy (edit distance),FALSE,0.95,1,2368080,Mezoneuron kauaiense,(H.Mann) Hillebr.,Species,Accepted,NA,507169-1,2368080,0,17,1,NA
Dendrosicyos socotrana,Balf. f.,VU,Fuzzy (edit distance),FALSE,0.913,2,2761163,Dendrosicyos socotranus,Balf.f.,Species,Accepted,NA,292552-1,2761163,1,5,1,NA
Engelhardtia serrata,Blume,LR/lc,Fuzzy (edit distance),FALSE,0.95,1,2789180,Engelhardia serrata,Blume,Species,Accepted,NA,442231-1,2789180,0,5,1,NA
Eugenia sachetae,Proctor,EN,Fuzzy (edit distance),FALSE,0.941,1,76724,Eugenia sachetiae,Proctor,Species,Accepted,NA,98978-2,76724,0,7,1,NA
Xylosma pachyphyllum,(Krug &amp; Urban) Urban,CR,Fuzzy (edit distance),FALSE,0.9,2,2923374,Xylosma pachyphylla,(Krug & Urb.) Urb.,Species,Accepted,NA,269918-2,2923374,8,7,1,NA
Dendroseris berteriana,Hook. &amp; Arn.,CR,Fuzzy (phonetic),FALSE,0.955,1,3062511,Dendroseris berteroana,(Decne.) Hook. & Arn.,Species,Synonym,TRUE,201198-1,3062514,13,7,1,NA
Dacrydium ericioides,de Laub.,LC,Fuzzy (edit distance),FALSE,0.95,1,383510,Dacrydium ericoides,de Laub.,Species,Accepted,NA,935583-1,383510,0,8,1,NA
Dysoxylum palawanensis,Merr.,VU,Fuzzy (edit distance),FALSE,0.909,2,2780103,Dysoxylum palawanense,Merr.,Species,Synonym,NA,578261-1,2780096,0,5,1,NA
Cinnamomum litseifolium,Thw.,VU,Fuzzy (phonetic),FALSE,0.958,1,2721399,Cinnamomum litsaeifolium,Thwaites,Species,Accepted,NA,463510-1,2721399,5,3,1,NA
Olearia hectori,Hook.f.,EN,Fuzzy (phonetic),FALSE,0.938,1,3095982,Olearia hectorii,Hook.f.,Species,Accepted,NA,234834-1,3095982,0,7,1,NA
Acsmithia vitiense,(A.Gray) Hoogland,EN,Fuzzy (edit distance),FALSE,0.895,2,2620494,Acsmithia vitiensis,(A.Gray) Hoogland,Species,Synonym,TRUE,294520-1,2584574,0,17,1,NA
Euphorbia nigrispinioides,M.Gilbert,LR/nt,Fuzzy (phonetic),FALSE,0.96,1,81113,Euphorbia nigrispinoides,M.G.Gilbert,Species,Accepted,NA,971503-1,81113,2,8,1,NA
Alangium griffithi,(Clarke) Harms,LR/lc,Fuzzy (phonetic),FALSE,0.947,1,5571,Alangium griffithii,(C.B.Clarke) Harms,Species,Synonym,NA,271407-1,5646,4,13,1,NA
Knema hookerana,(Wall. ex Hook.f. &amp; Th.) Warb.,VU,Fuzzy (phonetic),FALSE,0.938,1,2334949,Knema hookeriana,(Wall. ex Hook.f. & Thomson) Warb.,Species,Accepted,NA,585869-1,2334949,8,19,1,NA
Kibatalia wigmani,(Koord.) Merr.,VU,Fuzzy (phonetic),FALSE,0.944,1,105945,Kibatalia wigmanii,(Koord.) Merr.,Species,Accepted,NA,79468-1,105945,0,14,1,NA
Myristica succadanea,Reinw.,LR/nt,Fuzzy (edit distance),FALSE,0.95,1,2501016,Myristica succedanea,Blume,Species,Accepted,NA,586325-1,2501016,6,-1,1,NA
Aralia castanopsisicola,(Hayata) J.Wen,VU,Fuzzy (phonetic),FALSE,0.957,1,13989,Aralia castanopsiscola,(Hayata) J.Wen,Species,Accepted,NA,971069-1,13989,0,14,1,NA
Omalanthus stokesii,F.Brown,LR/nt,Fuzzy (edit distance),FALSE,0.9,2,99868,Homalanthus stokesii,F.Br.,Species,Accepted,NA,350043-1,99868,3,4,1,NA
Geniostoma gagneae,Fosberg &amp; Sachet,DD,Fuzzy (phonetic),FALSE,0.944,1,2818876,Geniostoma gagnae,Fosberg & Sachet,Species,Accepted,NA,897803-1,2818876,4,9,1,NA
Pisonia graciliscens,(Heimerl) Stenmerik,CR,Fuzzy (phonetic),FALSE,0.95,1,2553031,Pisonia gracilescens,(Heimerl) Stemm.,Species,Synonym,TRUE,604990-1,3243465,5,13,1,NA
Serianthes margaretae,I.C.Nielsen,EN,Fuzzy (edit distance),FALSE,0.955,1,2591192,Serianthes margaretiae,I.C.Nielsen,Species,Accepted,NA,903065-1,2591192,0,11,1,NA
Boronella koniamboensis,(D�niker) T.G.Hartley,VU,Fuzzy (phonetic),FALSE,0.957,1,2679829,Boronella koniambiensis,(Däniker) Hortly,Species,Synonym,TRUE,NA,2679986,NA,-1,1,NA
Synsepalum kassneri,(Engl.) T.D.Penn.,VU,Fuzzy (phonetic),FALSE,0.95,1,199117,Synsepalum kaessneri,(Engl.) T.D.Penn.,Species,Accepted,NA,962751-1,199117,0,17,1,NA
Multidentia castaneae,(Robyns) Bridson &amp; Verdc.,EN,Fuzzy (phonetic),FALSE,0.952,1,130260,Multidentia castanea,(Robyns) Bridson & Verdc.,Species,Accepted,NA,944188-1,130260,4,18,1,NA
Temnocalyx nodulosus,Robyns,VU,Fuzzy (edit distance),FALSE,0.9,2,202283,Temnocalyx nodulosa,Robyns,Species,Accepted,NA,767649-1,202283,0,6,1,NA
Guarea caulobotrys,Cuatrecasas,VU,Fuzzy (edit distance),FALSE,0.947,1,2833958,Guarea caulobotryis,Cuatrec.,Species,Accepted,NA,114027-2,2833958,4,7,1,NA
Hyeronima clusioides,(Tul.) Muell.-Arg.,DD,Fuzzy (edit distance),FALSE,0.9,2,99135,Hieronyma clusioides,(Tul.) Griseb.,Species,Accepted,NA,350068-1,99135,10,7,1,NA
Hyeronima jamaicensis,Urb.,VU,Fuzzy (edit distance),FALSE,0.905,2,99151,Hieronyma jamaicensis,Urb.,Species,Accepted,NA,122574-2,99151,0,4,1,NA
Ilex vaccinoides,Loes.,VU,Fuzzy (phonetic),FALSE,0.941,1,2861609,Ilex vaccinioides,Loes.,Species,Synonym,TRUE,128137-2,2607488,0,5,1,NA
Aquilaria banaensis,P.H.H�,VU,Fuzzy (edit distance),FALSE,0.895,2,2644534,Aquilaria banaense,P.H.Hô,Species,Accepted,NA,931120-1,2644534,NA,-1,1,NA
Trichilia casaretti,C. de Candolle,VU,Fuzzy (phonetic),FALSE,0.95,1,2515149,Trichilia casarettoi,C.DC.,Species,Accepted,NA,315594-2,2515149,11,2,1,NA
Trichilia stellato-tomentosa,Kuntze,LR/lc,Fuzzy (phonetic),FALSE,0.964,1,2515484,Trichilia stellatotomentosa,Kuntze,Species,Accepted,NA,256921-2,2515484,0,6,1,NA
Freziera retinveria,Kobuski,VU,Fuzzy (edit distance),FALSE,0.895,2,2814593,Freziera retinervia,Kobuski,Species,Accepted,NA,106016-2,2814593,0,7,1,NA
Phylloxylon spinosa,"Du Puy, Labat &amp; Schrire",VU,Fuzzy (edit distance),FALSE,0.9,2,2539684,Phylloxylon spinosum,"Du Puy, Labat & Schrire",Species,Accepted,NA,984170-1,2539684,4,15,1,NA
Phylloxylon xiphoclada,"(Baker) Du Puy, Labat &amp; Schrire",EN,Fuzzy (edit distance),FALSE,0.87,3,2539683,Phylloxylon xiphocladum,"(Baker) Du Puy, Labat & Schrire",Species,Accepted,NA,984171-1,2539683,4,23,1,NA
Dipterocarpus caudiferus,Merr.,NT,Fuzzy (edit distance),FALSE,0.917,2,2772136,Dipterocarpus caudifer,Merr.,Species,Accepted,NA,320647-1,2772136,0,5,1,NA
Elaeocarpus sallehiana,Ng,LR/cd,Fuzzy (edit distance),FALSE,0.913,2,2785983,Elaeocarpus sallehianus,Ng,Species,Accepted,NA,937039-1,2785983,0,2,1,NA
Garcinia eugeniaefolia,Wall,LR/cd,Fuzzy (phonetic),FALSE,0.909,2,2816841,Garcinia eugeniifolia,(Choisy) Wall. ex T.Anderson,Species,Synonym,NA,NA,2816727,24,4,1,NA
Xanthophyllum monticolum,van der Meijden,LR/cd,Fuzzy (edit distance),FALSE,0.917,2,2467481,Xanthophyllum monticola,Meijden,Species,Accepted,NA,901283-1,2467481,8,7,1,NA
Verbesina pseudoclausseni,D.J.N. Hind,VU,Fuzzy (phonetic),FALSE,0.962,1,3124421,Verbesina pseudoclaussenii,D.J.N.Hind,Species,Accepted,NA,304192-2,3124421,1,6,1,NA
Abarema cochliocarpos,(Gomes) Barneby &amp; J.W.Grimes,LC,Fuzzy (phonetic),FALSE,0.952,1,2609316,Abarema cochliacarpos,(Gomes) Barneby & J.W.Grimes,Species,Accepted,NA,1020872-2,2609316,4,17,1,NA
Macrocnemum cinchonoides,(Wedd.) Wedd.,VU,Fuzzy (phonetic),FALSE,0.96,1,117010,Macrocnemum cinchonioides,(Wedd.) Wedd.,Species,Synonym,NA,755487-1,117033,0,13,1,NA
Pentagonia rubiflora,D. R. Simpson,DD,Fuzzy (edit distance),FALSE,0.952,1,149811,Pentagonia rubriflora,D.R.Simpson,Species,Accepted,NA,188123-2,149811,2,7,1,NA
Dendropanax marginiferus,(Harms) Harms,VU,Fuzzy (edit distance),FALSE,0.917,2,60083,Dendropanax marginifer,(Harms) Harms,Species,Accepted,NA,77651-2,60083,0,13,1,NA
Ilex mathewsii,Loes.,VU,Fuzzy (edit distance),FALSE,0.933,1,2861057,Ilex matthewsii,Loes.,Species,Synonym,NA,127924-2,2861212,0,5,1,NA
Lupinus macbrideanus,C. P. Sm.,VU,Fuzzy (phonetic),FALSE,0.952,1,2356853,Lupinus macbrideianus,C.P.Sm.,Species,Accepted,NA,145486-2,2356853,2,3,1,NA
Weinmannia ueli,Diels,VU,Fuzzy (phonetic),FALSE,0.867,2,2466336,Weinmannia ulei,Diels,Species,Accepted,NA,268334-2,2466336,0,5,1,NA
Xylosma ruizianum,Sleumer,DD,Fuzzy (edit distance),FALSE,0.882,2,2923261,Xylosma ruiziana,Sleumer,Species,Accepted,NA,269935-2,2923261,0,7,1,NA
Myristica longipetiolata,W.J.de Wilde,EN,Fuzzy (phonetic),FALSE,0.958,1,2501066,Myristica longepetiolata,W.J.de Wilde,Species,Accepted,NA,995724-1,2501066,0,12,1,NA
Mangifera austro-indica,Kosterm.,EN,Fuzzy (phonetic),FALSE,0.957,1,2362908,Mangifera austroindica,Kosterm.,Species,Accepted,NA,978624-1,2362908,0,8,1,NA
Mangifera persiciformis,Wu &amp; Ming,DD,Fuzzy (edit distance),FALSE,0.913,2,2362670,Mangifera persiciforma,C.Y.Wu & T.L.Ming,Species,Accepted,NA,69953-1,2362670,9,4,1,NA
Euphorbia santapauii,Henry,EN,Fuzzy (phonetic),FALSE,0.95,1,82018,Euphorbia santapaui,A.N.Henry,Species,Accepted,NA,348151-1,82018,4,5,1,NA
Euphorbia mayurnathanii,Croiz.,EW,Fuzzy (phonetic),FALSE,0.958,1,80803,Euphorbia mayuranathanii,Croizat,Species,Synonym,NA,347295-1,78378,2,5,1,NA
Osmoxylon miquelli,Boerl.,DD,Fuzzy (phonetic),FALSE,0.944,1,144546,Osmoxylon miquelii,Boerl.,Species,Accepted,NA,91368-1,144546,0,6,1,NA
Illicium kinabaluensis,A.C.Sm.,VU,Fuzzy (edit distance),FALSE,0.909,2,519457,Illicium kinabaluense,A.C.Sm.,Species,Synonym,NA,554513-1,519492,0,7,1,NA
Engelhardtia danumensis,E.J.F.Campb.,VU,Fuzzy (edit distance),FALSE,0.957,1,2789152,Engelhardia danumensis,E.J.F.Campb.,Species,Accepted,NA,975768-1,2789152,0,12,1,NA
Engelhardtia kinabaluensis,E.J.F.Campb.,VU,Fuzzy (edit distance),FALSE,0.962,1,2789158,Engelhardia kinabaluensis,E.J.F.Campb.,Species,Accepted,NA,975769-1,2789158,0,12,1,NA
Engelhardtia mendalomensis,E.J.F.Campb.,VU,Fuzzy (edit distance),FALSE,0.962,1,2789160,Engelhardia mendalomensis,E.J.F.Campb.,Species,Accepted,NA,975770-1,2789160,0,12,1,NA
Parathesis aurantica,Lundell,VU,Fuzzy (edit distance),FALSE,0.952,1,2552586,Parathesis aurantiaca,Lundell,Species,Accepted,NA,183044-2,2552586,0,7,1,NA
Koanophyllon panamense,R.M.King &amp; H.Rob.,LC,Fuzzy (edit distance),FALSE,0.913,2,3132731,Koanophyllon panamensis,R.M.King & H.Rob.,Species,Accepted,NA,133589-2,3132731,4,10,1,NA
Rhododendron kanehirai,Wilson,EW,Fuzzy (phonetic),FALSE,0.955,1,2418160,Rhododendron kanehirae,E.H.Wilson,Species,Accepted,NA,332664-1,2418160,4,6,1,NA
Palaquium impressinervium,Ng,VU,Fuzzy (phonetic),FALSE,0.962,1,145734,Palaquium impressionervium,Ng,Species,Accepted,NA,788323-1,145734,0,2,1,NA
Siphoneugenia densiflora,Berg,VU,Fuzzy (phonetic),FALSE,0.958,1,192507,Siphoneugena densiflora,O.Berg,Species,Accepted,NA,601229-1,192507,2,4,1,NA
Siphoneugenia widgreniana,Berg,VU,Fuzzy (phonetic),FALSE,0.96,1,192531,Siphoneugena widgreniana,O.Berg,Species,Synonym,NA,601242-1,461845,2,4,1,NA
Xylosma glaberrimum,Sleumer,DD,Fuzzy (edit distance),FALSE,0.895,2,2923282,Xylosma glaberrima,Sleumer,Species,Accepted,NA,269896-2,2923282,0,7,1,NA
Mollinedia marquetiana,Peixoto,VU,Fuzzy (edit distance),FALSE,0.955,1,3011038,Mollinedia marqueteana,Peixoto,Species,Unplaced,NA,60471289-2,NA,0,7,1,NA
