scientific_name,authority,category,original_match_type,resolved_match_type,manually_entered_name,Notes
Freziera velutina,A.L.Weitzman,VU,Fuzzy (edit distance),New/undescribed species,NA,NA
Geissanthus pinchinchana,(Lundell) Pipoly,EN,Fuzzy (edit distance),No valid match found,NA,Ecuadorian Primulac - maybe Geissanthus pichinchae but different author string
Grewia androyensis,Capuron,LC,Fuzzy (edit distance),No valid match found,NA,In GBIF
Grewia barorum,Capuron,LC,Fuzzy (edit distance),No valid match found,NA,In GBIF
Grewia delphinensis,Capuron,VU,Fuzzy (edit distance),No valid match found,NA,In GBIF
Grewia milleri,S.Abedin,VU,Fuzzy (edit distance),No valid match found,NA,NA
Ixora regalis,De Block,LC,Fuzzy (edit distance),No valid match found,NA,NA
Leucas spiculifera,(Balf.f.) Guerke,LC,Fuzzy (edit distance),Manually matched,Leucas spiculifolia,NA
Liparis bemarahensis,Hermans,EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Liparis laurentii,Hermans &amp; Nusb.,EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Liparis magnifica,Hermans,EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Macrothelypteris vandervekenii,Pic.Serm.,LC,Fuzzy (edit distance),No valid match found,NA,NA
Micromeria remota,Balf.f.,LC,Fuzzy (edit distance),No valid match found,NA,NA
Myodocarpus angustialatus,Lowry ined.,VU,Fuzzy (edit distance),New/undescribed species,NA,NA
Myosotis retusifolia,R.Afonso,DD,Fuzzy (edit distance),No valid match found,NA,"Franco, J. D. A., & Afonso, M. L. (1994). Nova flora de Portugal. II (I). Escolar Editora, Lisboa."
Myrcia megaphylla,M.F.Santos &amp; Sobral,CR,Fuzzy (edit distance),No valid match found,NA,https://www.biotaxa.org/Phytotaxa/article/view/phytotaxa.222.2.2
Ochna emarginata,(Tiegh.) ined.,EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Piper seychellarum,J.Gerlach,VU,Fuzzy (edit distance),No valid match found,NA,?
Polyscias nothisii,Lowry  &amp; G.M.Plunkett ined.,EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Pouteria brevipedicellata,(P.Royen) ined.,EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Prunus boissieri,Kurtto,EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Prunus klokovii,(Sobko),DD,Fuzzy (edit distance),Manually matched,Cerasus klokovii,NA
Psychotria volii,R.O.Gardner,CR,Fuzzy (edit distance),No valid match found,NA,https://www.tandfonline.com/doi/abs/10.1080/0028825X.1987.10410172
Pycnandra viridiflora,Swenson &amp; Munzinger,CR,Fuzzy (edit distance),No valid match found,NA,"Swenson, U., & Munzinger, J. (2009). Revision of Pycnandra subgenus Pycnandra (Sapotaceae), a genus endemic to New Caledonia. Australian Systematic Botany, 22(6), 437-465."
Pyrostria sp. nov.,ined.,EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Quercus centenaria,L.M.Gonzï¿½lez,DD,Fuzzy (edit distance),New/undescribed species,NA,NA
