scientific_name,authority,category
Drimys confertifolia,Philippi,VU
Polyscias marchionensis,(F.Br.) Lowry &amp; G.M.Plunkett,LR/lc
Glochidion marchionicum,F. Brown,LR/lc
Cyrtandra feaniana,F.Br.,LR/nt
Hernandia nukuhivensis,F.Br.,LR/lc
Alphitonia marquesensis,F.Br.,LR/lc
Ixora marquesensis,F.Br.,DD
Psychotria adamsonii,Fosberg,DD
Psychotria lebronnecii,Fosberg,DD
Allophylus marquesensis,F.Br.,DD
Abies nebrodensis,(Lojac.) Mattei,CR
Pseudopanax gilliesii,Kirk,LR/nt
Brachyglottis arborescens,W.R.B.Oliv.,EN
Pennantia baylisiana,(W.R.B.Oliv.) G.T.S.Baylis,CR
Elingamita johnsonii,Baylis,VU
Myrsine oliveri,Allan,VU
Pittosporum fairchildii,Cheeseman,VU
Pittosporum obcordatum,Raoul,LR/nt
Pittosporum turneri,Petrie,LR/cd
Pittosporum virgatum,Kirk,LR/nt
Chordospartium stevensonii,Cheeseman,VU
Notospartium carmichaeliae,Hook.f.,LR/nt
Notospartium glabrescens,Petrie,LR/nt
Olearia traversii,(F.Muell.) Hook.f.,LR/nt
Corokia macrocarpa,Kirk,LR/nt
Hebe barkeri,(Cockayne) Cockayne,VU
Homalanthus polyandrus,(Hook.f. ex Müll.Arg.) G.Nicholson,VU
Pseudopanax ferox,Kirk,LR/nt
Araucaria heterophylla,(Salisb.) Franco,VU
Campnosperma seychellarum,Marchand,CR
Colea seychellarum,Seem.,EN
Dillenia ferruginea,(Baill.) Gilg,NT
Erythroxylum sechellarum,O.E.Schulz,LC
Excoecaria benthamiana,Hemsl.,VU
Rapanea seychellarum,Mez,CR
Syzygium wrightii,(Baker) A.J.Scott,VU
Grisollea thomassetii,Hemsl.,CR
Pandanus balfourii,Martelli,VU
Martellidendron hornei,(Balf.f.) Callm. &amp; Chassot,VU
Pandanus multispicatus,Balf.f.,NT
Pandanus sechellarum,Balf.f.,NT
Craterispermum microdon,Baker,EN
Ixora pudica,Baker,NT
Rothmannia annae,(E.P.Wright) Keay,CR
Mimusops sechellarum,(Oliv.) Hemsl.,NT
Soulamea terminalioides,Baker,VU
Drypetes riseleyi,Airy Shaw,CR
Ficus bojeri,Baker,VU
Memecylon elaeagni,Blume,LC
Northia hornei,(Hartog) Pierre,VU
Canarium paniculatum,(Lam.) Benth. ex Engl.,EN
Diospyros angulata,Poir.,CR
Diospyros boutoniana,A.DC.,VU
Diospyros chrysophyllos,Poir.,CR
Diospyros leucomelas,Poir.,VU
Croton vaughanii,Croizat,CR
Macaranga mauritiana,Bojer ex Baill.,EN
Casearia tinifolia,Vent.,EX
Dracaena concinna,Kunth,EN
Dracaena floribunda,Baker,EN
Badula platyphylla,(DC.) Coode,CR
Badula reticulata,A. DC.,CR
Athrotaxis laxifolia,Hook.,EN
Eucalyptus morrisbyi,R.G.Brett,CR
Pherosphaera fitzgeraldii,(F.Muell.) Hook.f.,CR
Agathis atropurpurea,B.Hyland,NT
Agathis microstachya,J.F.Bailey &amp; C.White,NT
Aglaia argentea,Blume,LR/lc
Xanthostemon oppositifolius,F.M.Bailey,VU
Diospyros egrettarum,I.Richardson,CR
Diospyros revaughanii,I.Richardson,VU
Diospyros hemiteles,I.Richardson,CR
Callitris oblonga,Rich. &amp; A.Rich.,VU
Poupartia pubescens,(Baker) Engl.,EN
Xylopia amplexicaulis,(Lam.) Baillon,CR
Xylopia richardii,Boivin ex Baill.,VU
