scientific_name,authority,category
Dipterocarpus sublamellatus,Foxw.,EN
Hopea latifolia,Symington,DD
Hopea montana,Symington,CR
Hopea nervosa,King,CR
Hopea nutans,Ridl.,CR
Parashorea globosa,Symington,EN
Sarcotheca monophylla,(Planch. ex Hk.f.) Hallier.f.,LR/nt
Heliciopsis cockburnii,Kochummen,VU
Heliciopsis montana,Symington ex Kochummen,LR/cd
Heliciopsis whitmorei,Kochummen,LR/cd
Anisophyllea apetala,Scort. ex King,VU
Anisophyllea corneri,Ding Hou,LR/lc
Anisophyllea curtisii,King,VU
Pellacalyx saccardianus,Scort.,LR/lc
Atuna penangiana,(Kosterm. &amp; Prance) Kosterm.,VU
Kostermanthus malayanus,(Kosterm.) Prance,EN
Prunus malayana,Kalkman,LR/lc
Prunus odorata,(M.R.Hend.) Whitmore,DD
Melicope macrocarpa,(King) T.G.Hartley,VU
Glycosmis crassifolia,Ridl.,CR
Glycosmis decipiens,B.C.Stone,LR/cd
Glycosmis perakensis,V.Naray.,VU
Glycosmis tomentella,Ridl.,EN
Tetractomia majus,Hook.f.,LR/cd
Madhuca aristulata,(King &amp; Gamble) H.J.Lam,VU
Madhuca cuprea,(King &amp; Gamble) H.J.Lam,DD
Madhuca longistyla,(King &amp; Gamble) H.J.Lam,VU
Madhuca obtusifolia,(King &amp; Gamble) P.Royen,DD
Madhuca penangiana,(King &amp; Gamble) H.J.Lam,LR/cd
Madhuca penicillata,(King &amp; Gamble) H.J.Lam,VU
Madhuca rufa,(King &amp; Gamble) P.Royen,VU
Payena selangorica,King &amp; Gamble,LR/cd
Madhuca sessiliflora,P.Royen,VU
Madhuca tomentosa,H.J.Lam,LR/nt
Madhuca tubulosa,H.J.Lam,LR/cd
Palaquium regina-montium,Ng,VU
Payena maingayi,C.B.Clarke,LR/lc
Styrax crotonoides,C.B.Clarke,VU
Styrax fraserensis,Putz &amp; Ng,VU
Symplocos calycodactylos,Brand,VU
Symplocos nivea,Brand,EN
Symplocos pyriflora,Ridley,LR/cd
Adinandra angulata,Ridley,LR/cd
Adinandra corneriana,Kobuski,VU
Pyrenaria pahangensis,H.Keng,DD
Ternstroemia corneri,H. Keng,VU
Ternstroemia evenia,(King) A.C. Smith,LR/cd
Aquilaria rostrata,Ridl.,CR
Brownlowia velutina,Kosterm.,EN
Diplodiscus hookerianus,(King) Kosterm.,EN
Diplodiscus scortechinii,(King) Ashton ex Kochummen,LR/cd
Pentace excelsa,Kochummen,LR/cd
Pentace grandiflora,Kochummen,LR/cd
Pentace microlepidota,Kosterm.,VU
Schoutenia corneri,Roekm.,EN
Schoutenia furfuracea,Kochummen,LR/cd
Avicennia lanata,Ridl.,VU
Callicarpa maingayi,King &amp; Gamble,LC
Vitex longisepala,King &amp; Gamble,LC
Vitex urceolata,C.B. Clarke,VU
Memecylon cinereum,King,DD
Memecylon wallichii,Ridl.,VU
Polyalthia chrysotricha,Ridl.,LR/lc
Eugenia haniffii,M.R. Henderson,VU
Diospyros nutans,King &amp; Gamble,LR/lc
Polyalthia angustissima,Ridl.,DD
Popowia fusca,King,LR/lc
Hopea apiculata,Symington,EN
Dipterocarpus concavus,Foxw.,CR
Shorea ochrophloia,Strugnell ex Symington,VU
Eugenia millsii,M.R. Henderson,LR/nt
Memecylon floridum,Ridl.,VU
Kayea elegans,King,LR/lc
Castanopsis wallichii,King ex Hook.f.,VU
Castanopsis nephelioides,King ex Hook.f.,VU
Baccaurea latifolia,King ex Hook.f.,LR/cd
Baccaurea hookeri,Gage,LR/cd
Eugenia nemestrina,Hend.,LR/lc
Syzygium linocieroideum,(King) I.M.Turner,LR/nt
Eugenia glauca,King,LR/lc
Eugenia flosculifera,M.R. Henderson,LR/lc
Eugenia duthieana,King,LR/lc
Syzygium conglomeratum,(Duthie) I.M.Turner,VU
Knema communis,Sincl.,VU
Santalum album,L.,VU
Stenostomum aromaticum,(Cast.-Campos &amp; Lorence) Borhidi,EN
Recchia simplicifolia,T.Wendt &amp; E.J.Lott,EN
Elaeagia uxpanapensis,Lorence,EN
Rinorea uxpanapana,Wendt,EN
Perrottetia multiflora,Lund.,LC
Perrottetia excelsa,Lund.,DD
Guatteria jefensis,Barringer,EN
Zanthoxylum flavum,Vahl.,VU
Agathis kinabaluensis,de Laub.,EN
Agathis lenticula,de Laub.,VU
Agathis orbicula,de Laub.,EN
Alangium circulare,Stone &amp; Kochummen,CR
Kopsia lancifolia,Markgraf,VU
Kopsia sleesiana,Markgraf,VU
Kopsia tenuis,Leenh. &amp; Steenis,EN
Radermachera ramiflora,Steenis,VU
Canarium fuscocalycinum,Stapf ex Ridl.,VU
Dacryodes elmeri,H.J.Lam,VU
Dacryodes expansa,(Ridl.) H.J.Lam,VU
Haplolobus beccarii,Husson,VU
Lophopetalum sessilifolium,Ridl.,VU
Microtropis rigida,Ridl.,VU
Sarawakodendron filamentosum,Ding Hou,EN
Mastixia glauca,C. Matthew,VU
Anisoptera reticulata,P.S.Ashton,EN
Dipterocarpus cuspidatus,Ashton,CR
Hopea aequalis,P.S.Ashton,EN
Hopea altocollina,P.S.Ashton,EN
Hopea centipeda,P.S.Ashton,EN
Hopea depressinerva,P.S.Ashton,CR
Hopea enicosanthoides,P.S.Ashton,EN
Hopea fluvialis,P.S.Ashton,NT
Hopea kerangasensis,P.S.Ashton,CR
Hopea longirostrata,P.S.Ashton,EN
Hopea megacarpa,P.S.Ashton,EN
Hopea mesuoides,P.S.Ashton,LC
Hopea pentanervia,Symington ex G.H.S. Wood,VU
Hopea pterygota,P.S.Ashton,LC
Hopea tenuivervula,P.S.Ashton,NT
Shorea agami,P.S.Ashton,NT
Shorea alutacea,P.S.Ashton,EN
Shorea argentifolia,Symington,LC
Shorea bakoensis,P.S.Ashton,VU
Shorea brunnescens,P.S.Ashton,EN
Shorea carapae,P.S.Ashton,NT
Shorea cordata,P.S.Ashton,EN
Shorea cuspidata,P.S.Ashton,VU
Shorea foraminifera,P.S.Ashton,CR
Shorea iliasii,P.S.Ashton,CR
Shorea lunduensis,P.S.Ashton,NT
Shorea macrobalanos,P.S.Ashton,VU
Shorea mujongensis,P.S.Ashton,VU
Shorea pallidifolia,P.S.Ashton,EN
Shorea polyandra,P.S.Ashton,VU
Shorea praestans,P.S.Ashton,CR
Shorea pubistyla,P.S.Ashton,LC
Shorea rotundifolia,P.S.Ashton,CR
Shorea sagittata,P.S.Ashton,NT
Shorea superba,Symington,VU
Shorea symingtonii,G.H.S.Wood,VU
Vatica badiifolia,P.S.Ashton,VU
Vatica brunigii,P.S.Ashton,EN
Vatica compressa,P.S.Ashton,VU
Vatica congesta,P.S.Ashton,EN
Vatica globosa,P.S.Ashton,EN
Vatica rotata,P.S.Ashton,EN
Vatica rynchocarpa,P.S.Ashton,EN
Horsfieldia fragillima,Airy Shaw,VU
Horsfieldia motleyi,Warb.,VU
Horsfieldia paucinervis,Warb.,VU
Horsfieldia reticulata,Warb.,LR/nt
Horsfieldia rufo-lanata,Airy Shaw,VU
Horsfieldia sabulosa,James Sincl.,VU
Knema elmeri,Merr.,LR/lc
Knema kinabaluensis,Sinclair,LC
Knema kostermansiana,de Wilde,VU
Knema linguiformis,(J.Sinclair) W.J.de Wilde,LR/lc
Knema mamillata,de Wilde,VU
Knema muscosa,Sinclair,VU
Knema pedicellata,W.J.de Wilde,NT
Knema piriformis,de Wilde,VU
Knema psilantha,de Wilde,VU
Knema pubiflora,de Wilde,LR/nt
Knema rufa,Warb.,VU
Knema sericea,de Wilde,VU
Knema uliginosa,Sinclair,VU
Sarcotheca ochracea,Hallier f.,VU
Dalrympelea nitida,(Merr. &amp; L.M.Perry) Nor-Ezzaw.,LC
Dalrympelea stipulacea,(B.L.Linden) Nor-Ezzaw.,VU
Gonystylus calophylloides,Airy Shaw,NT
Gonystylus glaucescens,Airy Shaw,VU
Shorea dealbata,Foxw.,CR
Shorea foxworthyi,Symington,VU
Shorea lamellata,Foxw.,CR
Shorea materialis,Ridl.,CR
Shorea peltata,Symington,CR
Shorea resinosa,Foxw.,CR
Vatica nitens,King,EN
Vatica perakensis,King,EN
Gordonia singaporeana,Wall. ex Ridley,VU
Anisophyllea griffithii,Oliv.,NT
Eugenia pendens,Duthie,LR/lc
Eugenia pauper,Ridl.,LR/lc
Eugenia oblongifolia,Duthie,LR/lc
Eugenia ngadimaniana,M.R. Henderson,VU
Trigonobalanus doichangensis,(A.Camus) Forman,EN
Alstonia rupestris,Kerr,LR/lc
Diplycosia pilosa,Blume,VU
Rhododendron album,Blume,VU
Lithocarpus crassinervius,(Blume) Rehder,EN
Lithocarpus indutus,(Blume) Rehder,VU
Macropanax concinnus,Miq.,VU
Canarium kipella,(Blume) Miq.,EN
Rhododendron loerzingii,J.J. Smith,VU
Rhododendron wilhelminae,Hochr.,CR
Lithocarpus kostermansii,Soepadmo,EN
Lithocarpus platycarpus,(Blume) Rehder,EN
Myristica teysmannii,Miq.,EN
Symplocos junghuhnii,Koord.,EN
Heliciopsis lanceolata,(Koord. &amp; Valeton) Sleumer,EN
Terminalia kangeanensis,Slooten,VU
Heritiera longipetiolata,Kaneh.,VU
Aglaia mariannensis,Merr.,VU
Knema bengalensis,de Wilde,VU
Degeneria vitiensis,I.W.Bailey &amp; A.C.Smith,LC
Geniostoma astylum,A.Gray,LR/nt
Ateleia popenoei,Correll,CR
Koilodepas calycinum,Bedd.,EN
Semecarpus auriculata,Beddome,LR/nt
Nesoluma polynesicum,(Hillebr.) Baill.,VU
Aglaia samoensis,A.Gray,LR/nt
Ocotea jorge-escobarii,C.Nelson,LC
Cymbopetalum torulosum,G.E.Schatz,LC
Clethra coloradensis,C. Hamilton,CR
Clethra tutensis,C.W.Ham.,DD
Schinopsis balansae,Engl.,LR/lc
Myrcianthes callicoma,McVaugh,VU
Podocarpus parlatorei,Pilg.,NT
Myracrodruon urundeuva,Allemão,DD
Schinopsis haenkeana,Engl.,VU
Schinopsis quebracho-colorado,(Schltdl.) F.A.Barkley &amp; T.Mey.,LR/lc
Aspidosperma polyneuron,Müll.Arg.,EN
Tabebuia impetiginosa,Mart ex DC,LR/lc
Alnus acuminata,Kunth,LC
Libidibia paraguariensis,(Parodi) G.P.Lewis,VU
Jacaranda mimosifolia,D.Don,VU
Gonopterodendron sarmientoi,(Lorentz ex Griseb.) Godoy-Bürki,EN
Podocarpus nubigenus,Lindl.,NT
Podocarpus salignus,D.Don,VU
Schinus pearcei,Engl.,DD
Eucryphia glutinosa,(Poepp. &amp; Endl.) Baillon,EN
Nothofagus alessandrii,Espinosa,EN
Nothofagus glauca,(Phil.) Krasser,VU
Persea lingue,(Ruiz &amp; Pav.) Nees,LC
Prosopis tamarugo,Phil.,LR/cd
Legrandia concinna,(Phil.) Kausel,EN
Haplorhus peruviana,Engler,EN
Parkia korom,Kaneh.,VU
Eschweilera mexicana,"T.Wendt, S.A.Mori &amp; Prance",CR
Juniperus taxifolia,Hook. &amp; Arn.,NT
Archidendropsis glandulosa,(Guillaumin) I.C.Nielsen,VU
Archidendropsis lentiscifolia,(Benth.) I.C.Nielsen,VU
Hunga cordata,Prance,VU
Hunga gerontogea,(Schltr.) Prance,VU
Hunga guillauminii,Prance,EN
Hunga mackeeana,Prance,VU
Serianthes calycina,Benth.,VU
Polylepis tarapacana,Phil.,LR/nt
Pouteria splendens,(A.DC.) Kuntze,LR/nt
Pilgerodendron uviferum,(D.Don) Florin,VU
Saxegothaea conspicua,Lindl.,NT
Athrotaxis cupressoides,D.Don,VU
Athrotaxis selaginoides,D.Don,VU
Aquilaria malaccensis,Lam.,CR
Garcinia rubroechinata,Kosterm.,EN
Mangifera applanata,Kosterm.,NT
Mangifera casturi,Kosterm.,EW
Mangifera paludosa,Kosterm.,EN
Mangifera sumbawaensis,Kosterm.,VU
Mangifera blommesteinii,Kosterm.,EN
Prioria msoo,(Harms) Breteler,VU
Gynoxys laurifolia,(Kunth) Cass,VU
Gustavia dodsonii,S.A.Mori,EN
Hieronima macrocarpa,Schltr.,VU
Brunellia almaguerensis,Cuatrec.,EN
Brunellia occidentalis,Cuatrec.,VU
Anthodiscus montanus,Gleason,VU
Licania caldasiana,Cuatrec.,DD
Moquilea salicifolia,(Cuatrec.) Sothers &amp; Prance,EN
Trigonobalanus excelsa,"Loz.-Contr.,Hern.Com .&amp;Henao-S.",EN
Swartzia macrophylla,Willd. ex Vogel,LC
Juglans neotropica,Diels,EN
Neostenanthera robsonii,Le Thomas,LC
Piptostigma oyemense,Pellegrin,VU
Ocotea gabonensis,Fouilloy,LC
Gilbertiodendron klainei,(Pierre ex Pellegrin) Leonard,VU
Bikinia durandii,(F.Hallé &amp; Normand) Wieringa,LC
Monopetalanthus heitzii,Pellegrin,LR/nt
Plagiosiphon gabonensis,(A.Chev.) J.Léonard,LC
Empogona concolor,(N.Hallé) Tosh &amp; Robbr.,VU
Tricalysia obstetrix,N.Hallé,VU
Deinbollia rambaensis,Pellegr.,EN
Delpydora macrophylla,Pierre,VU
Lecomtedoxa nogo,(A.Chev.) Aubrév.,VU
Rhaptopetalum belingense,Letouzey,EN
Rhaptopetalum sindarense,Pellegr.,LC
Cola duparquetiana,Baill.,VU
Cola letestui,Pellegr.,VU
Shorea robusta,C.F.Gaertn.,LR/lc
Dalbergia latifolia,Roxb.,VU
Semecarpus parvifolia,Thwaites,VU
Abies fraseri,(Pursh) Poir.,EN
Pseudoziziphus celata,(Judd &amp; D.W.Hall) Hauenschild,VU
Camellia hengchunensis,Chang,NT
Pterocarpus santalinus,L.f.,EN
Shorea tumbuggaia,Roxb.,EN
Burkillanthus malaccensis,(Ridl.) Swingle,VU
Merrillia caloxylon,(Ridley) Swingle,VU
Aspidosperma curranii,Standl.,VU
Eschweilera bogotensis,R.Knuth,VU
Eschweilera sclerophylla,Cuatrec.,VU
Grias colombiana,Cuatrec.,VU
Gustavia excelsa,R.Knuth,VU
Gustavia gracillima,Miers,VU
Gustavia latifolia,Miers,EN
Gustavia longifuniculata,Mori,VU
Gustavia petiolata,S.A.Mori,EN
Gustavia sessilis,S.A.Mori,LC
Toona calantas,Merr. &amp; Rolfe,DD
Tectona philippinensis,Benth. &amp; Hook.f. ex Merr.,EN
Mangifera lagenifera,Griffith,VU
Ilex maingayi,Hook.f.,VU
Canarium patentinervium,Miq.,LR/lc
Canarium ovatum,Engl.,LC
Santiria apiculata,A.W.Benn.,LR/lc
Mangifera flava,Evrard,VU
Mangifera dongnaiensis,Pierre,EN
Mangifera minutifolia,Evrard,EN
Bersama swynnertonii,Baker f.,LC
Allophylus chirindensis,Baker f.,VU
Vitellariopsis ferruginea,Kupicha,VU
Olea chimanimani,Kupicha,LC
Noronhia richardsiae,(Stearn) Hong-Wa &amp; Besnard,LC
Pleioceras orientale,Vollesen,EN
Erica nyassana,(Alm &amp; T.C.E.Fr.) E.G.H.Oliv.,EN
Deinbollia nyasica,Exell,CR
Maclurodendron pubescens,T.G.Hartley,LC
Pterocarpus brenanii,Barbosa &amp; Torre,LC
Millettia mossambicensis,J.B.Gillett,LC
Hexalobus mossambicensis,N.Robson,VU
Maerua acuminata,Oliv.,EN
Maerua andradae,Wild,LC
Maerua brunnescens,Wild,DD
Maerua scandens,(Klotzsch) Gilg,DD
Elaeodendron fruticosum,N.Robson,LR/lc
Gymnosporia gurueensis,(N.Robson) Jordaan,EN
Terminalia barbosae,(Exell) Gere &amp; Boatwr.,VU
Thespesiopsis mossambicensis,Exell &amp; Hillcoat,LR/lc
Warneckea sessilicarpa,(A.Fern. &amp; R.Fern.) Jacq.-Fél.,CR
Ochna angustata,N.Robson,NT
Ochna beirensis,N.Robson,EN
Cassipourea obovata,Alston,DD
Vepris allenii,I.Verd.,EN
Glyphaea tomentosa,Mast.,LC
Grewia limae,Wild,EN
Grewia transzambesica,Wild,LC
Khaya senegalensis,(Desr.) A.Juss.,VU
Khaya grandifoliola,C.DC.,VU
Nesogordonia papaverifera,(A.Chev.) Capuron ex N.Hallé,VU
Triplochiton scleroxylon,K.Schum.,LR/lc
Canarium pseudodecumanum,Hochr.,VU
Tapura neglecta,N.Hallé &amp; Heine,EN
Buxus colchica,Pojark.,LR/nt
Homalium dalzielii,Hutch.,VU
Diospyros feliciana,Letouzey &amp; F.White,EN
Baphia heudelotiana,Baill.,VU
Fleurydora felicis,A.Chev.,EN
Dacryodes igaganga,Aubrév. &amp; Pellegr.,VU
Homalium ogoouense,Pellegr.,VU
Daniellia klainei,Pierre ex A.Chev.,LC
Monocyclanthus vignei,Keay,EN
Hunteria ghanensis,J.B.Hall &amp; Leeuwenb.,EN
Dalbergia setifera,Hutch. &amp; Dalziel,EN
Hymenostegia gracilipes,Hutch. &amp; Dalziel,EN
Lecaniodiscus punctatus,J.B.Hall,EN
Placodiscus attenuatus,J.B. Hall,EN
Cola umbratilis,Brenan &amp; Keay,VU
Afrostyrax lepidophyllus,Mildbr.,LC
Aubregrinia taiensis,(Aubrév. &amp; Pellegr.) Heine,CR
Croton aubrevillei,J.Léonard,VU
Gluema ivorensis,Aubrév. &amp; Pellegr.,VU
Hymenostegia aubrevillei,Pellegr.,NT
Tapura ivorensis,Breteler,VU
Terminalia habeensis,(Aubrév. ex Keay) Gere &amp; Boatwr.,EN
Talbotiella gentii,Hutch. &amp; Greenway,CR
Vepris heterophylla,(Engl.) Letouzey,EN
Allexis cauliflora,(Oliver) Pierre,VU
Salacia miegei,N.Hallé,VU
Hemandradenia chevalieri,Stapf,EN
Drypetes singroboensis,Aké Assi,VU
Macaranga beillei,Prain,VU
Cassia aubrevillei,Pellegr.,VU
Cassia fikifiki,Aubrév. &amp; Pellegr.,EN
Gilbertiodendron robynsianum,Aubrév. &amp; Pellegr.,VU
Strychnos millepunctata,Leeuwenb.,VU
Turraea adjanohounii,Aké Assi,VU
Eugenia tabouensis,Aubrev.,VU
Cassipourea hiotou,Aubrév. &amp; Pellegr.,VU
Fagara mezoneurospinosa,Aké Assi,EN
Teclea carpopunctifera,A.Chev.,VU
Zanthoxylum atchoum,(Aké Assi) P.G.Waterman,VU
Zanthoxylum psammophilum,(Aké Assi) P.G.Waterman,EN
Synsepalum aubrevillei,(Pellegr.) Aubrév. &amp; Pellegr.,VU
Synsepalum tsounkpe,Aubrév. &amp; Pellegr.,EN
Rhaptopetalum beguei,Mangenot,LR/lc
Gymnostemon zaizou,Aubrev. &amp; Pellegrin,VU
Byttneria ivorensis,Hallé,EX
Cola attiensis,Aubrév. &amp; Pellegr.,EN
Cola lorougnonis,Aké Assi,CR
Premna grandifolia,A.D.J.Meeuse,VU
Pavetta lasioclada,(K.Krause) Mildbr. ex Bremek.,VU
Gilletiodendron glandulosum,(Portères) J.Léonard,VU
Leplaea thompsonii,(Sprague &amp; Hutch.) E.J.M.Koenen &amp; J.J.de Wilde,VU
Leplaea cedrata,(A.Chev.) E.J.M.Koenen &amp; J.J.de Wilde,VU
Khaya ivorensis,A.Chev.,VU
Khaya anthotheca,(Welw.) C.DC.,VU
Entandrophragma utile,(Dawe &amp; Sprague) Sprague,VU
Aristogeitonia monophylla,Airy Shaw,NT
Dicraeopetalum stipulare,Harms,VU
Delonix baccal,(Chiov.) Baker f.,NT
Sclerocarya gillettii,Kokwaro,EN
Uvariodendron anisatum,Verdc.,VU
Uvariodendron gorgonis,Verdc.,EN
Polyscias kikuyuensis,Summerh.,NT
Ellipanthus hemandradenioides,Brenan,LR/nt
Croton talaeporos,Radcl.-Sm.,VU
Baphia keniensis,Brummitt,VU
Dalbergia eremicola,Polhill,NT
Memecylon teitense,Wick.,VU
Psychotria crassipetala,Petit,EN
Psychotria petitii,Verdc.,EN
Psychotria taitensis,Verdc.,EN
Vepris fadenii,(Kokwaro) Mziray,VU
Cola octoloboides,Brenan,EN
Monopetalanthus compactus,Hutch. &amp; Dalz.,VU
Warburgia elongata,Verdc.,CR
Allanblackia ulugurensis,Engl.,VU
Garcinia bifasciculata,N. Robson,CR
Garcinia semseii,B. Verdcourt,EN
Mammea usambarensis,Verdc.,EN
Baphia pauloi,Brummitt,EN
Baphia puguensis,Brummitt,EN
Stuhlmannia moavi,Taub.,LC
Zenkerella egregia,J. Léonard,VU
Kotschya platyphylla,(Brenan) Verdc.,VU
Millettia micans,Taub.,EN
Millettia semseii,J.B.Gillett,VU
Millettia sericantha,Harms,DD
Erythrina haerdii,Verdc.,VU
Cynometra brachyrrhachis,Harms,VU
Cynometra engleri,Harms,EN
Cynometra longipedicellata,Harms,CR
Cynometra ulugurensis,Harms,CR
Pavetta axillipara,Bremek.,LC
Pavetta sparsipila,Bremek.,EN
Camptolepis ramiflora,(Taub.) Radlk.,VU
Pierreodendron kerstingii,(Engl.) Little,VU
Daniellia oblonga,Oliver,VU
Zanthoxylum integrifoliolum,(Merr.) Merr.,DD
Calophyllum tetrapterum,Miq.,LR/lc
Prumnopitys harmsiana,(Pilg.) de Laub.,NT
Polylepis multijuga,Pilg.,VU
Polylepis racemosa,Ruiz &amp; Pav.,VU
Polylepis subsericans,J.F.Macbr.,VU
Amburana cearensis,(Allemão) A.C.Sm.,EN
Cedrela odorata,L.,VU
Swietenia macrophylla,King,VU
Maclura brasiliensis,(Mart.) Endl.,LR/lc
Alstonia scholaris,(L.) R.Br.,LC
Diospyros ebenum,J.Koenig ex Retz.,DD
Hirtella enneandra,Cuatrec.,EN
Eschweilera rimbachii,Standl.,VU
Gustavia pubescens,Ruiz &amp; Pav. ex O.Berg,VU
Gustavia serrata,S.A.Mori,EN
Carpinus putoensis,W.C.Cheng,CR
Ostrya rehderiana,Chun,CR
Hopea odorata,Roxb.,VU
Shorea siamensis,Miq.,LR/lc
Pterocarpus macrocarpus,Kurz,EN
Chordospartium muritai,Purdie,CR
Intsia bijuga,(Colebr.) Kuntze,NT
Cupressus cashmeriana,Royle ex Carrière,NT
Glyptostrobus pensilis,(Staunton ex D.Don) K.Koch,CR
Mangifera hiemalis,Ling,DD
Neobalanocarpus heimii,(King) P.S.Ashton,EN
Camellia chrysantha,(Hu) Tuyama,VU
Cathaya argyrophylla,Chun &amp; Kuang,VU
Metasequoia glyptostroboides,Hu &amp; W.C.Cheng,EN
Abies beshanzuensis,M.H.Wu,CR
Abies yuanbaoshanensis,Y.J.Lu &amp; L.K.Fu,CR
Abies ziyuanensis,L.K.Fu &amp; S.L.Mo,EN
Carya sinensis,Dode,EN
Apterosperma oblata,Hung T.Chang,CR
Bretschneidera sinensis,Hemsl.,EN
Burretiodendron esquirolii,(H.Lév.) Rehder,VU
Camellia euphlebia,Merr. ex Sealy,EN
Camellia grijsii,Hance,DD
Camellia reticulata,Lindley,DD
Cephalotaxus lanceolata,K.M.Feng,EN
Cephalotaxus oliveri,Mast.,VU
Cercidiphyllum japonicum,Sieb. &amp; Zucc.,LC
Chamaecyparis formosensis,Matsum.,EN
Chunia bucklandioides,H.T.Chang,VU
Craigia yunnanensis,W.W.Sm. &amp; W.E.Evans,EN
Cupressus gigantea,W.C.Cheng &amp; L.K.Fu,VU
Dipentodon sinicus,Dunn,LR/lc
Diplopanax stachyanthus,Hand.-Mazz.,VU
Dipteronia dyeriana,Henry,EN
Elaeagnus mollis,Diels,VU
Erythrophleum fordii,Oliv.,EN
Nesoluma st.-johnianum,H.J.Lam &amp; B.Meeuse,VU
Myrsine hosakae,H. St. John,VU
Glochidion pitcairnense,(F. Brown) H. St. John,VU
Euryodendron excelsum,Hung T.Chang,CR
Firmiana major,(W. Smith) Hand.-Mazz.,EN
Burretiodendron hsienmu,W.Y.Chun &amp; F.C.How,VU
Chamaecyparis hodginsii,(Dunn) Rushforth,VU
Garcinia paucinervis,Chun &amp; F.C.How,EN
Ginkgo biloba,L.,EN
Gmelina arborea,Roxb. ex Sm.,LC
Heptacodium miconioides,Rehder,VU
Hopea hainanensis,Merr. &amp; Chun,EN
Hopea mollissima,C.Y.Wu,EN
Madhuca pasquieri,(Dubard) H.J.Lam,VU
Malania oleifera,Chun &amp; S.K.Lee,VU
Malus komarovii,(Sarg.) Rehder,EN
Malus sieversii,M.Roem.,VU
Magnolia aromatica,(Dandy) V.S.Kumar,EN
Nouelia insignis,Franch.,LR/nt
Pinus wangii,Hu &amp; W.C.Cheng,EN
Rehderodendron macrocarpum,Hu,LR/nt
Rhoiptelea chiliantha,Diels &amp; Hand.-Mazz.,VU
Saccopetalum prolificum,(Chun &amp; How) Tsiang,VU
Sinojackia xylocarpa,Hu,VU
Sinowilsonia henryi,Hemsl.,LR/nt
Tetrameles nudiflora,R.Br.,LR/lc
Loropetalum subcordatum,(Benth.) Oliv.,VU
Thuja sutchuenensis,Franchet,EN
Torreya jackii,Chun,EN
Vatica guangxiensis,S.L.Mo,EN
Aesculus wangii,Hu,VU
Aquilaria sinensis,(Lour.) Spreng.,VU
Artocarpus hypargyreus,Hance ex Benth.,VU
Calocedrus macrolepis,Kurz,NT
Carallia diplopetala,Hand.-Mazz.,LR/nt
Castanopsis concinna,(Champ. ex Benth.) A.DC.,VU
Castanopsis kawakamii,Hayata,LR/nt
Cephalomappa sinensis,(Chun &amp; How) Kosterm.,VU
Chosenia arbutifolia,(Pallas) A. Skvortsov,VU
Cinnamomum japonicum,Siebold ex Nakai,LC
Cinnamomum mairei,H.Lév.,EN
Cleidiocarpon cavaleriei,(H.Lév.) Airy Shaw,VU
Corylus chinensis,Franch.,LC
Craigia kwangsiensis,H.H.Hsue,CR
Quercus rex,Hemsl.,LC
Dalbergia odorifera,T.C.Chen,VU
Dimocarpus longan,Lour.,LR/nt
Dipterocarpus retusus,Blume,EN
Dipteronia sinensis,Oliv.,DD
Dysosma versipellis,(Hance) M. Cheng,VU
Euptelea pleiosperma,Hook.f. &amp; Thomson,LR/lc
Fatsia polycarpa,Hayata,LR/nt
Firmiana hainanensis,Kosterm.,VU
Gleditsia vestita,Chun &amp; How ex B.G. Li,CR
Gmelina hainanensis,Oliv.,VU
Perkinsiodendron macgregorii,(Chun) P.W.Fritsch,VU
Helicia shweliensis,W.Smith,EN
Heritiera parvifolia,Merr.,VU
Horsfieldia pandurifolia,Hu,EN
Hydnocarpus hainanensis,(Merr.) Sleumer,VU
Ixonanthes chinensis,Champ.,VU
Keteleeria fortunei,(A.Murray bis) Carrière,NT
Lagerstroemia intermedia,Koehne,VU
Laportea urentissima,Gagnepain,EN
Litsea auriculata,S.S.Chien &amp; W.C.Cheng,VU
Litsea dilleniifolia,P.Y.Pai &amp; P.H.Huang,VU
Litsea szemaois,(H.Liu) J.Li &amp; H.W.Li,EN
Madhuca hainanensis,Chun &amp; F.C.How,VU
Magnolia amoena,W.C.Cheng,VU
Magnolia cylindrica,E.H.Wilson,VU
Magnolia henryi,Dunn,DD
Magnolia rostrata,W.W.Sm.,EN
Magnolia zenii,W.C.Cheng,CR
Magnolia grandis,(Hu &amp; W.C.Cheng) V.S.Kumar,CR
Myristica yunnanensis,Y.H. Li,CR
Nyssa yunnanensis,W.Q.Yin ex H.N.Qin &amp; Phengklai,CR
Ormosia hosiei,Hemsl. &amp; E.H.Wilson,LR/nt
Ormosia howii,Merr. &amp; Chun ex H.Y.Chen,EX
Otophora unilocularis,(Leenh.) Lo,EX
Pellacalyx yunnanensis,Hu,EN
Phoebe bournei,(Hemsl.) Y.C.Yang,LR/nt
Phoebe chekiangensis,C.B.Shang,VU
Phoebe nanmu,(Oliv.) Gamble,EN
Phoebe zhennan,S.K.Lee &amp; F.N.Wei,VU
Premna szemaoensis,C.Pei,VU
Pterospermum kingtungense,C.Y.Wu ex H.H.Hsue,CR
Pterospermum menglunense,H.H.Hsue,CR
Pterospermum yunnanense,H.H.Hsue,CR
Pterostyrax psilophyllus,Diels ex Perkins,VU
Reevesia rotundifolia,Chun,CR
Rhododendron cyanocarpum,(Franch.) W.W.Sm.,VU
Rhododendron fictolacteum,Balf.f.,LR/cd
